Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
GSM3043057_1	1.14	8904604	2808190	8904604	338374952	516409	326830447	3.4117492833807628
GSM3043057_2	1.14	8904604	2575643	8904604	329470348	4749164	321231116	2.5007506897100193
GSM3043058_1	1.14	5065213	1572750	5065213	192478094	311844	187562124	2.5540412926158758
GSM3043058_2	1.14	5065213	1484274	5065213	187412881	1894131	183530706	2.071455803510112
GSM3043093_1	1.14	8259441	2797110	8259441	313858758	515749	291733198	7.049527673208979
GSM3043093_2	1.14	8259441	2372250	8259441	305599317	10956103	291475961	4.621527344578456
GSM3043094_1	1.14	12803255	4266682	12803255	486523690	816238	457148486	6.037774645670389
GSM3043094_2	1.14	12803255	3708432	12803255	473720435	15749673	453085276	4.355978225849599
