Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
GSM3043055_1	1.14	20633558	6787609	20633558	784075204	1011427	745370772	4.9363162873340904
GSM3043055_2	1.14	20633558	6150533	20633558	763441646	7364409	747635107	2.0704318506617074
GSM3043056_1	1.14	17866106	6232787	17866106	678912028	920597	625375907	7.8855755667949365
GSM3043056_2	1.14	17866106	5206707	17866106	661045922	8907786	644976590	2.430894959820961
GSM3043091_1	1.14	9591618	3362556	9591618	364481484	517465	332681275	8.724780378692708
GSM3043091_2	1.14	9591618	2713245	9591618	354889866	5113887	345986608	2.508738302490723
GSM3043092_1	1.14	10416403	4333982	10416403	395823314	600966	325232011	17.834043752157562
GSM3043092_2	1.14	10416403	2837635	10416403	385406911	9905277	371067113	3.7206904159536465
