Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
GSM3043053_1	1.14	14069811	4605372	14069811	534652818	1144824	504423346	5.6540377198573
GSM3043053_2	1.14	14069811	3826321	14069811	534652818	8588031	520867037	2.5784547534171978
GSM3043054_1	1.14	10147421	3257934	10147421	385601998	836908	368626457	4.402347780366013
GSM3043054_2	1.14	10147421	2793924	10147421	385601998	5453851	376356288	2.3977339453516007
GSM3043089_1	1.14	8836828	2651599	8836828	335799464	714719	328925476	2.047051510481267
GSM3043089_2	1.14	8836828	2570982	8836828	335799464	3797526	328626749	2.1360114499765848
GSM3043090_1	1.14	12149354	3650691	12149354	461675452	986554	452148105	2.0636460003942334
GSM3043090_2	1.14	12149354	3508474	12149354	461675452	5430512	451593354	2.183806385269971
