Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
GSM3043067_1	1.14	9678242	3616192	9678242	367773196	512418	326123887	11.32472661221347
GSM3043067_2	1.14	9678242	2746893	9678242	358094954	6726608	347208271	3.0401665475576625
GSM3043068_1	1.14	9795633	3059752	9795633	372234054	492297	360130996	3.2514644670312722
GSM3043068_2	1.14	9795633	2897008	9795633	362438421	2443257	355950176	1.790164790503819
GSM3043103_1	1.14	9120068	3296195	9120068	346562584	492634	311909044	9.999215610649994
GSM3043103_2	1.14	9120068	2594130	9120068	337442516	5634001	328133088	2.7588189272510046
GSM3043104_1	1.14	7905351	2884680	7905351	300403338	456147	268973627	10.462503915319344
GSM3043104_2	1.14	7905351	2246733	7905351	292497987	5129606	284157228	2.8515611630516964
