Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
GSM3043065_1	1.14	19782819	5963508	19782819	751747122	1655851	735835903	2.1165653361822914
GSM3043065_2	1.14	19782819	5668294	19782819	751747122	8909868	735335535	2.1831260166766557
GSM3043066_1	1.14	14710552	4696323	14710552	559000976	1229824	532765550	4.693270159871778
GSM3043066_2	1.14	14710552	4018557	14710552	559000976	8752909	544772919	2.5452651445817867
GSM3043101_1	1.14	12638208	3797882	12638208	480251904	1050848	469369004	2.266081593712953
GSM3043101_2	1.14	12638208	3625387	12638208	480251904	5683181	469776381	2.181255901902681
GSM3043102_1	1.14	8774297	2798400	8774297	333423286	717241	317559404	4.757880647844134
GSM3043102_2	1.14	8774297	2460808	8774297	333423286	5658071	324428215	2.6977932789013424
