Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
GSM3043063_1	1.14	7205999	2239625	7205999	273827962	452078	262348179	4.192334090409656
GSM3043063_2	1.14	7205999	2025376	7205999	266621963	5807786	257964445	3.2471135920636813
GSM3043064_1	1.14	7014560	2420617	7014560	266553280	451455	244668586	8.210251248831003
GSM3043064_2	1.14	7014560	1999607	7014560	259538720	10126955	246439314	5.047187564152278
GSM3043099_1	1.14	7488740	2540548	7488740	284572120	474471	264559286	7.032605302304386
GSM3043099_2	1.14	7488740	2162589	7488740	277083380	10136691	264064231	4.6986394492517025
GSM3043100_1	1.14	7790273	2651310	7790273	296030374	501468	274578308	7.246575988178834
GSM3043100_2	1.14	7790273	2239792	7790273	288240101	11368276	273896699	4.976199338758905
