Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
GSM3043051_1	1.14	5745098	1944627	5745098	218313724	371669	202406140	7.286570770053833
GSM3043051_2	1.14	5745098	1644856	5745098	212568626	6602402	203663515	4.189287557421573
GSM3043052_1	1.14	6831477	2054054	6831477	259596126	422234	252622873	2.686193013527482
GSM3043052_2	1.14	6831477	1919833	6831477	252764649	3348803	246760480	2.3753990218782532
GSM3043087_1	1.14	9609104	3750327	9609104	365145952	575546	312907409	14.306208986810843
GSM3043087_2	1.14	9609104	2742962	9609104	355536848	25589264	326286746	8.227024052370515
GSM3043088_1	1.14	3610268	1186237	3610268	137190184	237663	129998542	5.242096621140183
GSM3043088_2	1.14	3610268	1050827	3610268	133579916	3970426	128223864	4.009623722176918
