Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
GSM3043061_1	1.14	12718617	4341197	12718617	483307446	687956	450650092	6.757055838945217
GSM3043061_2	1.14	12718617	3684466	12718617	470588829	5536541	459750397	2.303163894270852
GSM3043062_1	1.14	14707709	4998157	14707709	558892942	719137	523164008	6.392804652737947
GSM3043062_2	1.14	14707709	4317820	14707709	544185233	6236993	531965209	2.2455633227372047
GSM3043097_1	1.14	9316712	3367761	9316712	354035056	541524	318307879	10.09142354535648
GSM3043097_2	1.14	9316712	2667861	9316712	344718344	5506716	335378455	2.7094261627109697
GSM3043098_1	1.14	10107974	3976228	10107974	384103012	592991	329866057	14.120419081743623
GSM3043098_2	1.14	10107974	2782349	10107974	373995038	8074661	361825857	3.253834881092727
