Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
GSM3043059_1	1.14	12473999	4035001	12473999	474011962	1071444	449197884	5.234905443166854
GSM3043059_2	1.14	12473999	3468971	12473999	474011962	7648578	461484745	2.642806090197361
GSM3043060_1	1.14	13114349	4041392	13114349	498345262	1085956	483210361	3.0370311818074436
GSM3043060_2	1.14	13114349	3674778	13114349	498345262	6746775	486674727	2.3418573205979434
GSM3043095_1	1.14	7244334	2590226	7244334	275284692	571360	246790431	10.35083381970255
GSM3043095_2	1.14	7244334	1783669	7244334	275284692	5160851	267605774	2.7894460618972596
GSM3043096_1	1.14	12305019	3852665	12305019	467590722	991742	449201950	3.9326640018319265
GSM3043096_2	1.14	12305019	3502786	12305019	467590722	7125323	455728694	2.5368398990602725
